Amostra,B_Ordem_1,B_Ordem_5,B_Ordem_10
0,2263,426,218
1,2242,433,214
2,2262,426,218
3,2239,435,221
4,2207,446,205
5,2231,437,214
6,2243,434,215
7,2202,431,216
8,2217,428,221
9,2251,436,217
10,2231,429,213
11,2233,435,214
12,2200,417,220
13,2246,426,218
14,2205,433,219
15,2224,437,208
16,2227,425,217
17,2226,427,222
18,2227,436,220
19,2257,445,217
20,2238,432,222
21,2210,434,214
22,2233,441,214
23,2225,436,221
24,2245,436,220
25,2213,437,214
26,2217,437,223
27,2247,430,215
28,2236,433,215
29,2243,435,215
30,2200,434,217
31,2227,440,219
32,2197,434,220
33,2210,424,217
34,2208,442,216
35,2215,428,213
36,2211,432,214
37,2236,430,213
38,2228,430,221
39,2224,435,215
40,2229,434,210
41,2210,447,224
42,2217,435,216
43,2255,434,225
44,2240,435,208
45,2213,437,214
46,2225,427,218
47,2263,427,206
48,2238,438,213
49,2242,436,216
50,2229,422,211
51,2218,442,217
52,2235,438,218
53,2234,443,221
54,2247,429,219
55,2246,441,211
56,2239,433,220
57,2227,434,225
58,2232,445,215
59,2239,430,213
60,2226,434,222
61,2258,423,209
62,2230,439,216
63,2225,430,218
64,2222,438,222
65,2221,443,215
66,2243,436,212
67,2185,433,216
68,2215,448,223
69,2207,440,212
70,2229,448,215
71,2209,442,214
72,2234,435,211
73,2240,438,209
74,2233,431,215
75,2212,440,215
76,2230,438,216
77,2215,441,213
78,2255,434,215
79,2203,433,206
80,2222,439,217
81,2229,436,211
82,2236,443,213
83,2232,444,209
84,2238,435,210
85,2248,435,221
86,2224,433,217
87,2263,439,211
88,2224,433,212
89,2210,439,221
90,2221,430,214
91,2202,430,218
92,2255,441,213
93,2237,428,219
94,2243,434,210
95,2190,438,216
96,2240,430,219
97,2224,441,221
98,2239,432,220
99,2238,426,209
